Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Score,Score,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Scoring,Scoring,Scoring,Scoring,Punting,Punting,Downs,Downs,Downs,Downs,Unnamed: 35_level_0,Year
Week,Day,Date,Unnamed: 3_level_1,Unnamed: 4_level_1,OT,Unnamed: 6_level_1,Opp,Tm,Opp,Cmp,Att,Yds,TD,Int,Sk,Yds.1,Y/A,NY/A,Cmp%,Rate,Att,Yds,Y/A,TD,FGM,FGA,XPM,XPA,Pnt,Yds,3DConv,3DAtt,4DConv,4DAtt,ToP,
3,Sun,September 26,boxscore,W,,,Seattle Seahawks,30,17,30,38,313,3,0,1,10,8.5,8.0,78.9,127.3,34,140,4.1,0,3,3,3,3,2,94,9,14,0,0,35:53,2021
4,Sun,October 3,boxscore,L,,,Cleveland Browns,7,14,20,38,190,1,1,2,13,5.3,4.8,52.6,64.6,23,65,2.8,0,0,0,1,1,6,291,5,16,1,3,24:28,2021
5,Sun,October 10,boxscore,W,,,Detroit Lions,19,17,25,34,264,1,1,2,11,8.1,7.3,73.5,93.3,28,120,4.3,0,4,5,1,1,3,150,5,13,0,0,32:06,2021
6,Sun,October 17,boxscore,W,OT,@,Carolina Panthers,34,28,33,48,373,3,0,0,0,7.8,7.8,68.8,112.6,36,198,5.5,1,3,5,1,1,5,188,7,16,0,0,37:38,2021
8,Sun,October 31,boxscore,L,,,Dallas Cowboys,16,20,23,36,177,1,0,1,7,5.1,4.8,63.9,85.1,24,101,4.2,0,3,3,1,1,6,237,1,13,1,2,27:28,2021
9,Sun,November 7,boxscore,L,OT,@,Baltimore Ravens,31,34,17,28,187,2,0,0,0,6.7,6.7,60.7,104.3,24,131,5.5,1,1,1,4,4,5,242,5,14,2,2,23:40,2021
10,Sun,November 14,boxscore,W,,@,Los Angeles Chargers,27,20,25,37,278,2,0,2,16,7.9,7.1,67.6,107.7,33,103,3.1,1,2,2,3,3,3,137,5,14,2,2,36:10,2021
11,Sun,November 21,boxscore,W,,,Green Bay Packers,34,31,24,35,318,3,0,2,23,9.7,8.6,68.6,125.7,29,90,3.1,1,2,2,2,3,3,125,9,13,0,0,31:01,2021
12,Sun,November 28,boxscore,L,,@,San Francisco 49ers,26,34,21,33,256,2,1,1,6,7.9,7.5,63.6,95.0,18,67,3.7,1,0,0,2,3,3,160,2,8,1,3,22:53,2021
13,Sun,December 5,boxscore,L,,@,Detroit Lions,27,29,30,41,326,2,0,3,14,8.3,7.4,73.2,112.4,27,100,3.7,1,3,3,0,0,3,132,6,13,0,1,33:04,2021
