week,day,date,win_loss,OT,opp,pts_scored,pts_allowed,passes_completed,passing_att,passing_yds,passing_tds,int_thrown,times_sacked,yds_lost_from_sack,yds/pass_attempt,netyds/pass_attempt,pass_completion_percent,passer_rating,rushing_attempts,rushing_yds_gained,rushing_yds/attempt,rushing_tds,fgm,fga,xpm,xpa,times_punted,total_punt_yds,3dconv,3dattempt,4dconv,4datt,off_top,year,home_or_away
14,Sun,December 11,L,,Detroit Lions,23,34,27,39,330,3,0,0,0,8.5,8.5,69.2,120.7,30,134,4.5,1,2,3,4,4,2,96,7,15,1,2,31.9,2022,away
15,Sat,December 17,W,OT,Indianapolis Colts,39,36,19,33,170,1,0,3,12,5.5,4.7,57.6,81.6,43,171,4.0,0,5,5,3,3,7,305,6,19,0,1,36.61666666666667,2022,home
16,Sat,December 24,W,,New York Giants,27,24,30,42,319,1,1,3,15,8.0,7.1,71.4,91.3,21,126,6.0,1,3,3,1,1,4,129,3,11,1,1,29.216666666666665,2022,home
17,Sun,January 1,L,,Green Bay Packers,17,41,17,27,152,1,0,1,16,6.2,5.4,63.0,90.4,33,163,4.9,2,2,2,5,5,3,81,7,12,0,1,34.06666666666667,2022,away
18,Sun,January 8,W,,Chicago Bears,29,13,13,27,141,1,2,1,6,5.4,5.0,48.1,45.4,22,118,5.4,1,0,0,1,1,3,111,2,9,0,3,23.4,2022,away
19,Sun,January 15,L,,New York Giants,24,31,24,35,289,2,0,3,12,8.6,7.6,68.6,112.7,30,142,4.7,2,1,1,4,4,2,90,7,13,2,2,33.6,2022,home
1,Sun,September 13,L,,Green Bay Packers,34,43,32,44,364,4,0,0,0,8.3,8.3,72.7,127.5,32,158,4.9,1,2,2,5,5,1,40,6,11,1,2,41.266666666666666,2020,home
2,Sun,September 20,L,,Indianapolis Colts,11,28,19,25,203,1,1,2,11,8.6,7.5,76.0,95.9,40,151,3.8,1,4,4,2,2,2,87,3,11,1,1,38.416666666666664,2020,away
3,Sun,September 27,L,,Tennessee Titans,30,31,23,37,310,0,1,2,11,8.7,7.9,62.2,77.5,34,134,3.9,2,6,6,1,1,3,143,3,13,1,1,31.533333333333335,2020,home
4,Sun,October 4,W,,Houston Texans,31,23,20,33,290,2,0,3,10,9.1,8.1,60.6,109.4,26,96,3.7,0,3,3,2,2,4,201,3,12,1,2,23.483333333333334,2020,away
5,Sun,October 11,L,,Seattle Seahawks,26,27,20,32,190,3,1,4,27,6.8,5.3,62.5,97.1,16,124,7.8,1,0,0,3,3,5,226,0,7,2,2,20.533333333333335,2020,away
6,Sun,October 18,L,,Atlanta Falcons,23,40,30,40,363,4,0,2,8,9.3,8.6,75.0,135.7,37,99,2.7,0,4,4,4,4,2,68,9,17,3,3,40.11666666666667,2020,home
8,Sun,November 1,W,,Green Bay Packers,28,22,27,41,291,3,0,1,0,7.1,6.9,65.9,110.9,24,109,4.5,0,0,0,2,2,1,38,5,11,3,5,32.2,2020,away
9,Sun,November 8,W,,Detroit Lions,34,20,31,45,292,2,3,2,13,6.8,6.2,68.9,73.6,27,129,4.8,0,2,3,2,2,2,93,6,12,0,0,32.81666666666667,2020,home
10,Mon,November 16,W,,Chicago Bears,19,13,16,31,108,0,1,2,16,4.0,3.3,51.6,46.2,17,41,2.4,0,2,2,1,1,5,221,2,11,0,2,24.166666666666668,2020,away
11,Sun,November 22,L,,Dallas Cowboys,28,31,22,32,196,3,1,1,7,6.3,5.9,68.8,103.1,31,180,5.8,1,1,1,2,3,3,142,5,11,2,3,28.183333333333334,2020,home
12,Sun,November 29,W,,Carolina Panthers,28,27,19,36,267,1,1,0,0,7.4,7.4,52.8,74.7,28,107,3.8,0,2,4,3,3,3,116,6,14,1,1,28.783333333333335,2020,home
13,Sun,December 6,W,OT,Jacksonville Jaguars,27,24,28,42,266,1,2,2,14,6.7,6.0,66.7,72.1,25,124,5.0,1,1,2,1,2,5,258,4,13,0,0,30.633333333333333,2020,home
14,Sun,December 13,L,,Tampa Bay Buccaneers,14,26,15,23,196,2,0,0,0,8.5,8.5,65.2,120.9,26,107,4.1,1,2,2,2,3,3,151,5,11,0,0,20.95,2020,away
15,Sun,December 20,L,,Chicago Bears,27,33,15,21,198,1,1,1,4,9.6,9.0,71.4,96.9,42,199,4.7,2,4,4,3,3,1,44,6,12,0,0,32.983333333333334,2020,home
16,Fri,December 25,L,,New Orleans Saints,33,52,21,28,319,0,2,0,0,11.4,11.4,75.0,82.3,45,264,5.9,7,1,1,7,7,0,0,5,9,1,1,36.78333333333333,2020,away
17,Sun,January 3,W,,Detroit Lions,37,35,20,31,288,3,1,1,5,9.5,9.0,64.5,113.4,22,129,5.9,2,1,1,2,3,2,101,5,10,1,1,24.783333333333335,2020,away
1,Sun,September 12,L,OT,Cincinnati Bengals,24,27,20,27,217,2,0,5,44,9.7,6.8,74.1,122.0,36,149,4.1,1,2,2,3,3,7,332,3,14,2,3,34.85,2021,away
2,Sun,September 19,L,,Arizona Cardinals,33,34,29,36,371,3,2,3,29,11.1,9.5,80.6,114.2,21,103,4.9,1,2,2,4,4,4,221,3,9,1,1,31.866666666666667,2021,away
3,Sun,September 26,W,,Seattle Seahawks,30,17,23,32,283,1,0,2,15,9.3,8.3,71.9,109.2,18,106,5.9,1,1,2,2,2,2,88,3,8,0,1,24.116666666666667,2021,home
4,Sun,October 3,L,,Cleveland Browns,7,14,15,33,143,0,0,3,12,4.7,4.0,45.5,58.0,38,184,4.8,1,2,2,0,0,7,279,7,18,0,1,35.53333333333333,2021,home
5,Sun,October 10,W,,Detroit Lions,19,17,21,35,180,0,1,4,23,5.8,4.6,60.0,61.6,24,108,4.5,1,3,3,0,0,4,204,3,11,0,1,27.9,2021,home
6,Sun,October 17,W,OT,Carolina Panthers,34,28,17,41,188,1,1,4,19,5.0,4.2,41.5,53.7,23,118,5.1,1,2,2,2,2,6,244,2,12,2,2,26.566666666666666,2021,away
8,Sun,October 31,L,,Dallas Cowboys,16,20,25,41,341,2,1,3,19,8.8,7.8,61.0,93.6,24,78,3.3,0,2,3,2,2,4,181,7,14,0,0,32.53333333333333,2021,home
9,Sun,November 7,L,OT,Baltimore Ravens,31,34,27,41,253,3,2,3,13,6.5,5.8,65.9,86.7,45,247,5.5,1,2,2,4,4,3,125,6,15,3,3,46.06666666666667,2021,away
10,Sun,November 14,W,,Los Angeles Chargers,27,20,20,34,171,1,1,2,24,5.7,4.8,58.8,69.6,19,82,4.3,1,2,2,2,2,5,242,5,12,0,0,23.833333333333332,2021,away
11,Sun,November 21,W,,Green Bay Packers,34,31,23,33,372,4,0,2,13,11.7,10.6,69.7,146.7,19,95,5.0,0,1,2,4,4,2,102,7,11,0,0,28.983333333333334,2021,home
12,Sun,November 28,L,,San Francisco 49ers,26,34,17,26,215,1,1,2,15,8.8,7.7,65.4,87.8,39,208,5.3,3,2,3,4,4,3,183,5,12,0,0,37.11666666666667,2021,away
13,Sun,December 5,L,,Detroit Lions,27,29,25,41,272,3,1,3,24,7.2,6.2,61.0,94.8,27,100,3.7,0,3,3,2,2,3,166,2,11,1,3,26.933333333333334,2021,away
14,Thu,December 9,W,,Pittsburgh Steelers,36,28,28,40,269,3,1,5,39,7.7,6.0,70.0,103.0,24,106,4.4,1,0,1,2,2,6,258,4,13,2,2,29.533333333333335,2021,home
15,Mon,December 20,W,,Chicago Bears,17,9,26,39,255,1,0,3,30,7.3,6.1,66.7,93.4,28,115,4.1,0,1,2,0,0,3,161,2,12,2,5,29.25,2021,away
16,Sun,December 26,L,,Los Angeles Rams,23,30,21,37,197,1,3,0,0,5.3,5.3,56.8,46.8,33,159,4.8,1,3,3,3,3,2,108,7,14,1,1,30.0,2021,home
17,Sun,January 2,L,,Green Bay Packers,10,37,31,42,307,2,0,0,0,7.3,7.3,73.8,109.9,32,174,5.4,2,3,3,4,4,2,63,7,13,0,1,38.55,2021,away
18,Sun,January 9,W,,Chicago Bears,31,17,33,48,266,1,2,7,59,6.8,4.8,68.8,72.0,25,90,3.6,0,3,3,0,0,1,43,5,15,1,6,36.78333333333333,2021,home
1,Sun,September 10,L,,Tampa Bay Buccaneers,17,20,21,34,169,2,0,1,4,5.1,4.8,61.8,93.9,33,73,2.2,0,2,2,2,2,6,327,6,17,1,1,30.65,2023,home
