week,day,date,win_loss,OT,opp,pts_scored,pts_allowed,passes_completed,passing_att,passing_yds,passing_tds,int_thrown,times_sacked,yds_lost_from_sack,yds/pass_attempt,netyds/pass_attempt,pass_completion_percent,passer_rating,rushing_attempts,rushing_yds_gained,rushing_yds/attempt,rushing_tds,fgm,fga,xpm,xpa,times_punted,total_punt_yds,3dconv,3dattempt,4dconv,4datt,off_top,year,home_or_away
18,Sun,January 5,W,OT,New Orleans Saints,26,20,19,31,226,1,0,3,16,7.8,6.6,61.3,94.3,40,136,3.4,2,2,2,2,2,6,298,10,18,0,0,36.93333333333333,2019,away
19,Sat,January 11,L,,San Francisco 49ers,10,27,21,29,126,1,1,6,46,5.9,3.6,72.4,77.7,10,21,2.1,0,1,1,1,1,6,290,2,12,0,2,21.55,2019,away
1,Sun,September 11,W,,Green Bay Packers,23,7,23,32,269,2,0,1,8,8.7,8.2,71.9,117.8,28,126,4.5,0,3,3,2,2,5,232,4,13,1,1,31.383333333333333,2022,home
2,Mon,September 19,L,,Philadelphia Eagles,7,24,27,46,202,1,3,2,19,4.8,4.2,58.7,49.4,11,62,5.6,0,0,0,1,1,5,246,4,12,0,0,23.766666666666666,2022,away
3,Sun,September 25,W,,Detroit Lions,28,24,24,41,250,2,0,1,10,6.3,6.0,58.5,92.5,25,123,4.9,2,0,2,4,4,3,156,2,9,1,2,25.933333333333334,2022,home
4,Sun,October 2,W,,New Orleans Saints,28,25,26,39,263,1,1,3,23,7.3,6.3,66.7,83.6,25,81,3.2,1,5,5,1,2,3,126,5,14,1,1,32.21666666666667,2022,away
5,Sun,October 9,W,,Chicago Bears,29,22,33,42,312,1,1,1,7,7.6,7.3,78.6,95.6,31,117,3.8,3,0,2,3,3,1,15,12,15,0,0,36.733333333333334,2022,home
6,Sun,October 16,W,,Miami Dolphins,24,16,20,30,156,2,0,3,19,5.8,4.7,66.7,101.5,17,78,4.6,1,1,1,1,2,10,441,2,12,0,0,24.516666666666666,2022,away
8,Sun,October 30,W,,Arizona Cardinals,34,26,24,36,208,2,0,3,24,6.4,5.3,66.7,100.2,29,173,6.0,3,0,1,4,5,5,233,6,13,0,1,29.45,2022,home
9,Sun,November 6,W,,Washington Commanders,20,17,23,41,245,2,1,2,17,6.4,5.7,56.1,79.8,22,56,2.5,0,2,2,2,2,6,310,7,16,0,0,29.216666666666665,2022,away
10,Sun,November 13,W,OT,Buffalo Bills,33,30,30,50,334,1,2,4,23,7.1,6.2,60.0,69.9,25,147,5.9,2,2,2,3,4,3,149,7,17,3,5,35.03333333333333,2022,away
11,Sun,November 20,L,,Dallas Cowboys,3,40,17,30,110,0,0,7,49,5.3,3.0,56.7,64.6,17,73,4.3,0,1,1,0,0,7,338,1,11,0,0,22.6,2022,home
12,Thu,November 24,W,,New England Patriots,33,26,31,38,301,3,1,1,9,8.2,7.7,81.6,115.0,27,57,2.1,0,2,2,3,4,3,158,8,15,0,0,36.28333333333333,2022,home
13,Sun,December 4,W,,New York Jets,27,22,21,35,159,1,0,2,14,4.9,4.3,60.0,80.5,29,128,4.4,2,2,2,3,3,6,292,9,18,1,1,28.366666666666667,2022,home
14,Sun,December 11,L,,Detroit Lions,23,34,31,41,394,2,0,4,31,10.4,8.8,75.6,121.4,17,22,1.3,1,1,1,2,2,3,159,4,10,1,2,28.1,2022,away
15,Sat,December 17,W,OT,Indianapolis Colts,39,36,34,55,426,4,2,7,34,8.4,6.9,61.8,95.0,24,92,3.8,1,1,1,4,4,6,231,5,15,0,3,33.333333333333336,2022,home
